route_number,route_id
5600,618-03
6898,618-04
6998,618-05
5605,619-01
5622,619-02
5623,619-03
6818,619-04
7044,619-05
7398,619-06
5607,620-01
6809,620-02
6859,620-03
502,62-01
503,62-02
798,62-03
799,62-04
979,62-05
980,62-06
1035,62-07
1036,62-08
4216,62-09
4294,62-10
505,621-01
506,621-02
1523,621-05
6978,621-06
7982,621-07
4695,62-11
5778,62-12
6018,62-13
6144,62-14
6422,62-15
6423,62-16
6458,62-17
508,622-01
509,622-02
510,622-05
511,622-06
1053,622-07
513,623-01
514,623-02
516,624-01
517,624-02
518,624-03
519,624-04
1802,624-05
521,625-01
522,625-02
523,625-03
524,625-04
526,626-01
527,626-02
528,626-03
529,626-04
530,626-05
1917,626-06
2435,626-07
2436,626-08
6899,626-09
6900,626-10
532,627-01
533,627-02
534,627-03
535,627-04
944,627-05
1918,627-06
537,628-01
539,629-01
544,630-01
1974,630-02
541,63-01
542,63-02
4658,63-03
4659,63-04
5736,63-05
5737,63-06
6424,63-07
7204,63-08
7598,63-09
546,631-01
1976,631-02
548,633-01
1030,633-02
3737,633-03
1905,634-01
1919,634-02
4334,634-03
5784,634-04
5785,634-05
7038,634-06
7039,634-07
7040,634-08
7042,634-09
7043,634-10
4023,6350-01
8078,6350-02
1907,635-01
1920,635-02
2197,635-03
3742,635-04
4335,635-05
1909,636-01
1921,636-02
2198,636-03
3743,636-04
4095,636-05
4354,636-06
4355,636-07
4655,636-08
4656,636-09
7980,636-10
1863,637-01
1922,637-02
1994,637-03
2417,637-04
3114,637-05
3738,637-06
4096,637-07
3749,638-01
4114,638-02
3706,639-01
1911,640-01
1923,640-02
550,64-01
551,64-02
552,64-03
553,64-04
800,64-05
801,64-06
983,64-07
984,64-08
3774,64-09
3775,64-10
3896,641-01
4116,641-02
6819,641-03
6820,641-04
4274,64-11
4275,64-12
6680,64-13
7599,64-14
7618,64-15
6037,642-01
4194,642-02
5236,642-03
6838,642-04
6846,642-05
5580,643-01
6811,643-02
6860,643-03
5609,644-01
5610,644-02
5611,644-03
6866,644-04
6867,644-05
7979,644-06
5583,645-01
6821,645-02
3740,65-01
4174,65-02
4175,65-03
4176,65-04
5097,65-05
4514,66-01
4235,66-03
4236,66-04
4237,66-05
4664,66-06
6145,66-07
6425,66-08
4661,67-01
4662,67-02
4663,67-03
6426,67-04
7138,67-05
5777,68-01
5671,7000-01
5673,7001-01
555,701-01
556,701-02
8023,7015-01
8138,7015-02
558,702-01
559,702-03
3714,702-04
561,7030-01
1623,703-01
563,7031-01
8031,7037-01
5280,704-01
803,705-01
804,705-02
805,705-03
5365,705-05
6158,705-06
807,706-01
808,706-02
5366,706-03
810,707-01
811,707-02
5549,707-03
5658,707-04
813,708-01
814,708-02
3675,709-01
3681,710-01
844,711-01
845,711-02
2134,711-03
5367,711-04
5710,712-01
5711,712-02
5731,712-03
5732,712-04
7918,712-05
847,713-01
874,713-02
1190,713-03
849,714-01
875,714-02
851,715-01
2135,715-02
5376,715-03
8438,715-04
853,716-01
854,716-02
2136,716-03
5369,716-04
5613,717-01
5614,717-02
5657,717-03
6839,717-04
6840,717-05
5616,718-01
6841,718-02
6842,718-03
5619,719-01
5621,719-02
5656,719-03
6901,719-04
6902,719-05
3683,732-01
3685,733-01
3687,734-01
3753,735-01
4135,735-02
3755,736-01
4117,736-02
3757,737-01
4134,737-02
5781,737-03
6843,737-04
6844,737-05
3745,738-01
4136,738-02
6845,738-03
6847,738-04
3747,739-01
4137,739-02
5782,739-03
6903,739-04
6904,739-05
6760,740-01
3751,741-01
7899,750-01
816,80-01
565,8001A-01
566,8001A-02
2314,8001A-04
6350,8001A-05
876,80-02
1722,80-03
1723,80-04
1883,80-05
8021,8015-01
570,8030-01
568,803-01
572,805-01
1625,806-01
2137,806-02
2355,806-03
3814,806-04
4594,806-05
5371,806-06
1627,807-01
2138,807-02
5436,807-03
1629,808-01
2139,808-02
2356,808-03
4534,808-04
4674,808-05
5076,808-06
5856,808-07
1631,809-01
2140,809-02
5372,809-03
1633,810-01
2141,810-02
2357,810-03
5373,810-04
5836,810-05
3677,81-01
574,8101-01
3538,8101-03
6434,8101-04
7238,8101-05
576,8102-01
577,8102-02
5898,8102-04
6230,8102-05
6387,8102-06
579,8103-01
580,8103-02
2184,8103-03
3004,8103-04
6231,8103-05
6232,8103-06
6233,8103-07
7800,8103-08
582,8103R-01
583,8103R-02
817,8103R-03
818,8103R-05
585,8106-01
586,8106-02
1310,8106-03
6234,8106-04
746,8107-01
747,8107-02
6235,8107-03
588,8108-01
5899,8108-02
6238,8108-03
1563,811-01
2414,811-02
5196,811-03
3689,812-01
5538,813-01
5539,813-02
5541,814-01
5542,814-02
5543,814-03
7058,814-04
7059,814-05
590,8150-01
6389,8150-02
5477,815-01
5478,815-02
5876,815-03
5877,815-04
5286,8151-01
5544,8151-02
5545,8151-03
5282,82-01
6559,82-02
592,8203-01
1308,8203-02
1315,8203-03
2614,8203-04
3374,8203-05
3375,8203-06
4054,8203-07
4055,8203-08
5278,8203-09
6239,8203-10
6391,8203-11
6393,8203-12
594,8205-01
595,8205-02
860,8205-03
861,8205-04
3534,8205-05
3535,8205-06
6240,8205-07
6241,8205-08
6242,8205-09
6282,8205-10
6394,8205-11
6395,8205-12
597,8207-01
1037,8207-02
2214,8207-03
2215,8207-04
3376,8207-05
6243,8207-07
599,8208-01
3005,8208-02
3006,8208-03
3377,8208-04
6262,8208-05
1643,821-01
2195,822-01
2496,822-02
3234,822-03
3715,822-04
7619,822-05
7620,822-06
3835,823-01
3874,823-02
5223,823-03
601,8250-03
602,8250-05
603,8250-06
604,8250-07
6039,825-01
5289,8251-01
6762,826-01
3695,832-01
3696,832-02
3697,832-03
3698,832-04
4956,832-05
5548,832-06
8118,832-07
820,8350-01
821,8350-02
822,8350-03
823,8350-04
885,8350-05
1063,8350-06
2354,8350-07
3054,8350-08
3379,8350-09
3381,8350-10
3691,836-01
3693,837-01
7739,838-01
5284,83D-01
5456,83D-02
5356,83D-10
5397,83P-01
5780,83P-02
6778,83P-03
606,8401-01
1995,8401-03
3934,8401-04
6283,8401-05
6461,8401-06
7799,8401-07
749,8405-01
3297,8405-02
6263,8405-03
7801,8405-04
5547,85-01
608,8501-01
3298,8501-02
6264,8501-03
6427,85-02
3679,8550-01
6940,8551-01
4178,8650-01
610,901-01
1231,901-02
2359,901-03
4756,901-04
6430,901-05
7179,902-01
772,9030-01
773,9030-02
824,9030-03
825,9030-04
6285,9030-05
7759,903-01
751,9031-01
1943,9031-02
1944,9031-03
6286,9031-04
1942,9031R-01
612,9032-01
1410,9032-02
5277,9032-03
5897,9032-04
5903,9032-05
5900,9032-06
6287,9032-07
4917,9033-01
5216,9033-02
5217,9033-03
5218,9033-04
5219,9033-05
7761,9034-01
7762,9034-02
614,9101-01
615,9101-02
3545,9101-03
6288,9101-04
6396,9101-05
617,9103-01
1069,9103-02
5904,9103-03
6289,9103-04
619,9104-01
620,9104-02
2657,9104-04
6290,9104-05
6439,9104-06
7802,9104-07
622,9105-01
3542,9105-04
5902,9105-05
6291,9105-06
6397,9105-07
624,9106-01
625,9106-02
6292,9106-04
627,9201-01
858,9201-02
998,9201-03
999,9201-04
3382,9201-05
3474,9201-06
3575,9201-07
6294,9201-08
6399,9201-09
629,9202-03
630,9202-04
631,9202-05
1299,9202-06
1300,9202-07
3394,9202-08
3654,9202-09
6295,9202-10
6718,9202-11
6719,9202-12
7438,9202-13
7481,9202-14
633,9203-01
634,9203-02
636,9204-01
637,9204-02
3314,9204-03
3543,9204-04
3544,9204-05
3614,9204-06
