id_linha,nome_linha,shape_id,ponto_inicial,ponto_final
533   01,533,533-01V,103538100075,112293701215
639   01,639,639-01V,103538100075,600067900072
837   01,837,837-01I,101865205600,101865205600
823   01,823,823-01I,101865205600,101865205600
5503A 02,5503A,5503A-02I,109588100160,109588100160
9501  01,9501,9501-01V,111098400036,102356100011
621   01,621,621-01I,107042600140,101153700105
714   01,714,714-01I,101865205600,101865205600
3301B 02,3301B,3301B-02I,112293701215,112293701215
4033  03,4033,4033-03I,105152800122,105152800122
641   01,641,641-01I,112845400545,112845400545
340   01,340,340-01I,100980200007,106751210295
9415  01,9415,9415-01I,101009601038,101009601038
607   07,607,607-07I,600053900232,110998800036
83P   03,83P,83P-03I,101865205600,101865205600
645   02,645,645-02I,105481603700,105481603700
340   03,340,340-03I,100980200007,106751210295
902   01,902,902-01I,108699700200,108699700200
4103  08,4103,4103-08I,109739500090,110663300580
105   03,105,105-03I,100047300510,100047300510
822   05,822,822-05I,103261701820,103261701820
9209  04,9209,9209-04V,104482800035,102119000151
9210  04,9210,9210-04V,101345700551,106601500130
814   04,814,814-04I,101865205600,101865205600
644   06,644,644-06I,105481603700,112652100051
626   09,626,626-09I,107042600140,101153700105
719   05,719,719-05I,105481603700,105289203700
616   03,616,616-03I,105481603700,105289203700
